23928,5006,-7483,19884,163,-3233,1787
# 23950 LED ON
23958,5036,-7432,19896,172,-3224,1788
23968,5048,-7422,19884,148,-3213,1783
23978,5004,-7441,19913,174,-3225,1774
23987,5013,-7457,19910,186,-3233,1788
23997,5001,-7445,19860,172,-3239,1791
24007,5040,-7444,19847,178,-3229,1786
24017,5039,-7427,19903,173,-3231,1791
24027,5010,-7461,19899,154,-3224,1772
24037,5003,-7440,19904,164,-3227,1783
24047,4966,-7454,19864,173,-3227,1786
24057,4994,-7474,19862,177,-3224,1781
24067,5042,-7483,19888,175,-3223,1779
24077,5009,-7472,19943,170,-3235,1773
24087,5045,-7504,19878,162,-3232,1775
24096,5027,-7450,19903,163,-3229,1780
24106,5025,-7435,19892,164,-3243,1776
24116,5038,-7447,19917,154,-3240,1781
24126,5049,-7448,19887,179,-3223,1788
24136,4989,-7467,19883,169,-3228,1785
24146,5002,-7483,19893,156,-3236,1776
24156,5001,-7478,19877,165,-3224,1778
24166,5009,-7447,19856,170,-3221,1781
24176,4984,-7470,19880,165,-3221,1782
24186,5008,-7471,19873,162,-3239,1788
24196,5001,-7473,19923,145,-3229,1787
24206,4992,-7475,19920,168,-3228,1783
24215,4966,-7428,19896,168,-3225,1780
24225,5038,-7477,19851,162,-3238,1780
24235,5034,-7459,19910,169,-3234,1773
24245,5004,-7469,19918,157,-3230,1786
24255,4998,-7483,19880,162,-3239,1786
24265,5010,-7507,19918,164,-3231,1783
24275,4994,-7478,19842,152,-3234,1780
24285,5008,-7448,19877,152,-3227,1774
24295,5021,-7467,19876,169,-3227,1779
24305,5018,-7458,19901,170,-3230,1788
24315,5037,-7502,19857,152,-3224,1780
24324,5014,-7458,19859,152,-3228,1776
24334,5017,-7463,19875,164,-3227,1779
24344,5014,-7454,19895,151,-3232,1777
24354,4982,-7469,19919,155,-3222,1784
24364,5008,-7493,19871,165,-3204,1782
24374,5030,-7474,19878,174,-3216,1781
24384,4997,-7453,19870,162,-3225,1784
24394,5001,-7442,19877,163,-3226,1778
24404,4992,-7439,19899,174,-3220,1782
24414,5028,-7511,19846,166,-3230,1779
24424,4984,-7453,19881,165,-3244,1782
24434,4981,-7499,19910,163,-3234,1779
24443,5009,-7465,19879,157,-3228,1783
24453,5033,-7475,19891,158,-3220,1789
24463,4997,-7451,19891,173,-3226,1792
24473,5000,-7494,19865,153,-3224,1786
24483,4998,-7471,19882,169,-3228,1775
24493,4998,-7493,19896,169,-3241,1788
24503,5024,-7476,19955,164,-3235,1785
24513,5018,-7480,19851,162,-3236,1786
24523,4974,-7488,19890,174,-3233,1781
24533,5015,-7478,19918,164,-3237,1778
24543,5041,-7446,19894,165,-3228,1790
24552,5033,-7464,19883,172,-3234,1791
24562,5032,-7518,19900,179,-3230,1776
# 24564 LED OFF
24572,5037,-7491,19875,165,-3235,1776
24582,5004,-7473,19867,155,-3233,1775
24592,5004,-7449,19901,165,-3235,1773
24602,4993,-7487,19904,168,-3230,1778
24612,5018,-7457,19883,163,-3229,1781
24622,5023,-7501,19887,162,-3231,1787
24632,5029,-7455,19895,157,-3235,1783
24642,4998,-7467,19896,152,-3232,1790
24652,5008,-7461,19890,164,-3218,1784
24662,4997,-7480,19917,170,-3229,1776
24671,5028,-7432,19913,170,-3230,1784
24681,5034,-7473,19895,163,-3215,1788
24691,5020,-7433,19868,171,-3231,1777
24701,5033,-7502,19892,154,-3237,1772
24711,5038,-7472,19895,168,-3219,1778
24721,5006,-7485,19855,179,-3240,1788
24731,5004,-7444,19893,173,-3232,1784
24741,5001,-7448,19922,155,-3231,1781
24751,5025,-7460,19904,152,-3233,1781
24761,4988,-7461,19916,161,-3232,1784
24771,5012,-7413,19913,170,-3217,1780
24780,4990,-7460,19899,161,-3225,1789
24790,5019,-7460,19885,170,-3226,1788
24800,5023,-7466,19874,168,-3235,1786
24810,5039,-7462,19906,166,-3229,1788
24820,4990,-7473,19898,167,-3234,1781
24830,4978,-7498,19891,165,-3216,1783
24840,4994,-7451,19922,154,-3227,1784
24850,4999,-7477,19941,169,-3238,1778
24860,5018,-7460,19901,157,-3229,1781
24870,5001,-7441,19913,156,-3236,1780
24880,5011,-7419,19927,161,-3235,1772
24890,5016,-7475,19901,159,-3233,1767
24899,5038,-7448,19883,170,-3228,1783
24909,5019,-7478,19879,176,-3224,1780
24919,5025,-7460,19937,166,-3222,1774
24929,4975,-7511,19848,167,-3228,1788
24939,5012,-7471,19943,167,-3227,1788
24949,5013,-7461,19964,166,-3228,1777
24959,4999,-7458,19916,158,-3220,1782
24979,5004,-7452,19878,176,-3213,1780
24989,5016,-7469,19899,175,-3220,1787
24999,5029,-7459,19940,161,-3218,1789
25009,5042,-7463,19916,165,-3238,1780
25018,5011,-7473,19905,176,-3236,1768
25028,5032,-7436,19907,174,-3231,1762
25038,5017,-7452,19905,169,-3232,1779
25048,5016,-7457,19846,176,-3239,1788
25058,5017,-7489,19879,166,-3224,1780
25068,5039,-7467,19884,158,-3224,1765
25078,4997,-7443,19908,161,-3234,1776
25088,5002,-7475,19894,149,-3228,1779
25098,4979,-7432,19876,171,-3220,1778
25108,5020,-7478,19886,189,-3224,1779
25118,5035,-7452,19881,186,-3227,1785
25127,5051,-7484,19936,172,-3239,1779
25137,5034,-7493,19922,166,-3225,1784
25147,5018,-7467,19897,162,-3231,1784
25157,5005,-7495,19876,175,-3245,1783
25167,5027,-7455,19858,176,-3237,1783
25177,5002,-7476,19854,154,-3226,1785
25187,5011,-7448,19872,164,-3233,1772
25197,5004,-7456,19883,166,-3230,1777
25207,5029,-7482,19878,170,-3233,1779
25217,5054,-7448,19876,172,-3242,1776
25227,5004,-7458,19906,164,-3221,1770
25236,5003,-7451,19923,154,-3212,1777
25246,4996,-7448,19894,160,-3232,1787
25256,4964,-7476,19884,161,-3223,1780
25266,5033,-7477,19896,173,-3213,1782
25276,5029,-7494,19861,165,-3232,1783
25286,4999,-7456,19949,165,-3228,1784
25296,5017,-7487,19921,163,-3226,1776
25306,4992,-7448,19871,172,-3224,1771
25316,5030,-7503,19839,165,-3227,1775
25326,5013,-7467,19843,172,-3225,1778
25336,4999,-7452,19859,172,-3239,1778
25346,4986,-7419,19898,168,-3233,1785
25355,5048,-7477,19916,174,-3230,1786
25365,5001,-7473,19896,180,-3226,1780
25375,5019,-7497,19911,162,-3233,1778
25385,5029,-7431,19895,152,-3223,1780
25395,5027,-7456,19855,148,-3227,1784
25405,4991,-7457,19878,171,-3229,1774
25415,4980,-7464,19903,157,-3232,1783
25425,5025,-7482,19915,183,-3228,1785
25435,5031,-7471,19888,179,-3232,1781
25445,5021,-7479,19916,164,-3220,1775
25455,5002,-7457,19888,170,-3216,1777
25464,5006,-7483,19899,163,-3230,1776
25474,5023,-7454,19890,171,-3228,1787
25484,5007,-7506,19859,163,-3236,1772
25494,5050,-7498,19918,162,-3230,1780
25504,5058,-7484,19923,167,-3224,1778
25514,5052,-7454,19861,160,-3223,1779
25524,5031,-7449,19850,173,-3228,1782
25534,5028,-7464,19891,178,-3223,1785
25544,5017,-7462,19919,171,-3227,1781
25554,5002,-7448,19898,179,-3225,1784
25564,5017,-7463,19873,160,-3230,1791
25574,5022,-7468,19849,171,-3223,1785
25583,5024,-7481,19869,178,-3228,1782
25593,4997,-7462,19879,161,-3224,1781
25603,5006,-7479,19889,174,-3227,1781
25613,5017,-7466,19920,183,-3240,1788
25623,5061,-7462,19891,165,-3229,1785
25633,5039,-7483,19845,163,-3232,1777
25643,4981,-7492,19886,164,-3231,1769
25653,4980,-7449,19919,163,-3216,1762
25663,5000,-7448,19899,174,-3229,1780
25673,5023,-7437,19917,169,-3218,1787
25683,5031,-7465,19861,160,-3220,1776
25693,4997,-7454,19879,166,-3230,1779
25702,5054,-7484,19867,161,-3236,1780
25712,5032,-7495,19880,169,-3227,1784
25722,5023,-7475,19890,172,-3232,1775
25732,5012,-7490,19882,181,-3219,1771
25742,5021,-7475,19853,177,-3229,1775
25752,5019,-7457,19880,175,-3239,1780
25762,5013,-7456,19902,160,-3229,1787
25772,5015,-7480,19916,161,-3220,1771
25782,4986,-7449,19897,159,-3212,1774
25792,4979,-7456,19915,163,-3231,1783
25802,5028,-7467,19866,171,-3222,1776
25811,4995,-7470,19887,167,-3229,1773
25821,5002,-7471,19917,171,-3242,1771
25831,4986,-7465,19886,151,-3250,1774
25841,5007,-7466,19877,152,-3231,1773
25851,5006,-7446,19873,149,-3232,1779
25861,5010,-7467,19912,156,-3219,1780
25871,5024,-7500,19908,163,-3218,1783
25881,5037,-7465,19920,162,-3225,1790
25891,5030,-7444,19880,169,-3244,1778
25901,5050,-7432,19883,154,-3214,1781
25911,5022,-7485,19883,156,-3229,1783
25921,5019,-7463,19905,179,-3224,1781
25930,5021,-7484,19892,166,-3225,1781
25940,5023,-7460,19863,158,-3232,1774
25950,4999,-7454,19867,181,-3230,1783
25960,5036,-7438,19849,164,-3233,1790
25970,5011,-7459,19912,158,-3229,1786
25990,5051,-7500,19904,167,-3216,1780
26000,5032,-7487,19910,159,-3235,1793
26010,5020,-7479,19875,164,-3237,1784
26020,5012,-7451,19862,168,-3225,1775
26030,5035,-7511,19916,170,-3229,1782
26039,4974,-7487,19904,161,-3225,1787
26049,4983,-7455,19924,160,-3224,1788
26059,4991,-7481,19928,158,-3224,1784
26069,5034,-7455,19896,163,-3232,1777
26079,5017,-7465,19887,162,-3249,1780
26089,5006,-7478,19894,163,-3238,1786
26099,5006,-7491,19899,158,-3228,1781
26109,5024,-7457,19895,165,-3237,1785
26119,5017,-7471,19886,163,-3218,1774
26129,5010,-7471,19899,169,-3236,1786
26139,5003,-7467,19858,152,-3236,1780
26149,4991,-7474,19912,165,-3218,1790
26158,5013,-7468,19948,182,-3233,1787
26168,5018,-7448,19878,176,-3225,1776
26178,5009,-7462,19892,186,-3231,1778
26188,5043,-7473,19876,165,-3236,1781
26198,5013,-7483,19880,152,-3233,1775
26208,5041,-7450,19879,169,-3235,1772
26218,4981,-7460,19850,168,-3224,1794
26228,5012,-7443,19896,161,-3230,1795
26238,5034,-7495,19871,166,-3228,1787
26248,4991,-7429,19907,168,-3226,1784
26258,5023,-7484,19885,155,-3239,1777
26267,5068,-7440,19857,166,-3239,1782
26277,5030,-7465,19902,153,-3224,1779
